,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
120,Murilo Cerqueira\Murilo-Cerqueira,br BRA,DF,Cruzeiro,21,1997,1,1,84,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
121,César\Cesar,br BRA,GK,Flamengo,27,1992,6,6,538,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
122,Augusto César Moreira\Augusto-Cesar-Moreira,br BRA,MF,Chapecoense,26,1992,13,8,710,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches
123,Bruno César\Bruno-Cesar,br BRA,MFFW,Vasco da Gama,30,1988,13,5,509,2,0,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches
124,Júlio César\Julio-Cesar,br BRA,GK,Grêmio,32,1986,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Yimmi Chará\Yimmi-Chara,co COL,MF,Atlético Mineiro,27,1991,18,17,1359,3,1,0,0,0,0,0.20,0.07,0.26,0.20,0.26,Matches
126,Gabriel Chaves\Gabriel-Chaves,br BRA,MF,Vasco da Gama,17,2001,8,0,181,0,1,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
127,Chico\Chico,br BRA,MF,Ceará,27,1991,11,8,653,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
128,Marcelo Cirino\Marcelo-Cirino,br BRA,MFFW,Atl Paranaense,27,1992,30,19,1876,9,2,1,2,0,0,0.43,0.10,0.53,0.38,0.48,Matches
129,Léo Cittadini\Leo-Cittadini,br BRA,MF,Atl Paranaense,24,1994,21,16,1326,4,1,0,0,2,0,0.27,0.07,0.34,0.27,0.34,Matches
130,Luccas Claro\Luccas-Claro,br BRA,DF,Fluminense,27,1991,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Clayson\Clayson,br BRA,MF,Corinthians,23,1995,32,22,2015,3,7,1,1,6,0,0.13,0.31,0.45,0.09,0.40,Matches
132,Clayton\Clayton,br BRA,MF,Vasco da Gama,23,1995,7,1,119,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Clayton\Clayton,br BRA,FWMF,Bahia,23,1995,1,0,16,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Jean Cléber\Jean-Cleber,br BRA,MF,CSA,28,1990,24,11,1231,0,2,0,0,6,0,0.00,0.15,0.15,0.00,0.15,Matches
135,Jonathan Copete\Jonathan-Copete,co COL,FW,Santos,31,1988,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Bruno Cortez\Bruno-Cortez,br BRA,DF,Grêmio,31,1987,21,21,1813,1,2,0,0,4,0,0.05,0.10,0.15,0.05,0.15,Matches
137,Alan Costa\Alan-Costa,br BRA,DF,CSA,28,1990,26,26,2278,1,0,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
138,Walce Costa\Walce-Costa,br BRA,DF,São Paulo,19,1999,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Gustavo Cuellar\Gustavo-Cuellar,co COL,MF,Flamengo,26,1992,9,8,710,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Víctor Cuesta\Victor-Cuesta,ar ARG,DF,Internacional,30,1988,31,30,2712,1,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07,Matches
141,Christian Cueva\Christian-Cueva,pe PER,FW,Santos,27,1991,5,1,149,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Andrés D'Alessandro\Andres-DAlessandro,ar ARG,MFFW,Internacional,37,1981,23,15,1515,1,3,0,1,7,0,0.06,0.18,0.24,0.06,0.24,Matches
143,Robert Piris Da Motta\Robert-Piris-Da-Motta,py PAR,MF,Flamengo,24,1994,26,13,1292,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Dalberto\Dalberto,br BRA,MFFW,Chapecoense,24,1994,10,4,364,0,1,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches
145,Daniel\Daniel,br BRA,MF,Fluminense,23,1996,30,28,2338,1,3,0,0,3,0,0.04,0.12,0.15,0.04,0.15,Matches
146,Danilo\Danilo,br BRA,,São Paulo,19,1999,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Dantas\Dantas,br BRA,DF,Flamengo,20,1998,1,1,64,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
148,David\David,br BRA,MF,Cruzeiro,23,1995,33,23,2025,0,2,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
149,Jonathan David Gómez\Jonathan-David-Gomez,ar ARG,MFFW,CSA,29,1989,26,25,2166,5,3,3,3,8,1,0.21,0.12,0.33,0.08,0.21,Matches
150,Dawhan\Dawhan,br BRA,DFMF,CSA,25,1993,32,26,2454,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Giorgian De Arrascaeta\Giorgian-De-Arrascaeta,uy URU,MF,Flamengo,24,1994,23,22,1829,13,14,1,1,1,0,0.64,0.69,1.33,0.59,1.28,Matches
152,Dedé\Dede,br BRA,DF,Cruzeiro,30,1988,20,20,1693,3,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
153,Derley\Derley,br BRA,MF,Fortaleza,32,1986,4,0,60,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Agenor Detofol\Agenor-Detofol,br BRA,GK,Fluminense,29,1989,6,6,515,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
155,Deyverson\Deyverson,br BRA,FW,Palmeiras,27,1991,24,21,1776,5,2,0,0,4,0,0.25,0.10,0.35,0.25,0.35,Matches
156,Franco Di Santo\Franco-Di-Santo,ar ARG,FW,Atlético Mineiro,29,1989,21,16,1456,3,1,1,2,2,0,0.19,0.06,0.25,0.12,0.19,Matches
157,Ricardo Dias Acosta\Ricardo-Dias-Acosta,br BRA,MF,Ceará,33,1985,34,31,2663,1,6,0,0,1,0,0.03,0.20,0.24,0.03,0.24,Matches
