,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
119,Lucas Cavallini\Lucas-Cavallini,ca CAN,FW,Puebla,25,1992,33,33,2969,11,3,1,2,10,1,0.33,0.09,0.42,0.30,0.39,Matches
120,Maximiliano Cerato\Maximiliano-Cerato,ar ARG,MF,León,30,1988,12,9,730,1,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
121,César Cercado\Cesar-Cercado,mx MEX,DF,Lobos BUAP,29,1989,1,0,,0,0,0,0,0,0,,,,,,Matches
122,Alan Cervantes\Alan-Cervantes,mx MEX,MF,Guadalajara,20,1998,9,7,646,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
123,Pablo César Aguilar\Pablo-Cesar-Aguilar,py PAR,DF,Cruz Azul,31,1987,31,31,2693,3,0,0,0,6,2,0.10,0.00,0.10,0.10,0.10,Matches
124,Pablo César López\Pablo-Cesar-Lopez,mx MEX,MF,Pachuca,20,1998,23,20,1394,3,2,0,0,1,0,0.19,0.13,0.32,0.19,0.32,Matches
125,Yago César\Yago-Cesar,br BRA,FWMF,Lobos BUAP,21,1997,21,7,863,3,4,0,0,0,0,0.31,0.42,0.73,0.31,0.73,Matches
126,Edwin Cetré\Edwin-Cetre,co COL,MF,Santos,20,1998,3,0,30,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Diego Chávez Collins\Diego-Chavez-Collins,mx MEX,MFFW,Veracruz,23,1995,33,21,1990,4,1,0,0,5,0,0.18,0.05,0.23,0.18,0.23,Matches
128,José Chávez\Jose-Chavez,mx MEX,MF,Veracruz,21,1997,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Luis Chávez\Luis-Chavez,mx MEX,MF,Tijuana,22,1996,21,9,869,0,1,0,0,1,1,0.00,0.10,0.10,0.00,0.10,Matches
130,Michaell Chirinos\Michaell-Chirinos,hn HON,MFFW,Lobos BUAP,23,1995,33,33,2709,6,4,0,0,5,0,0.20,0.13,0.33,0.20,0.33,Matches
131,Alejandro Chumacero\Alejandro-Chumacero,bo BOL,MF,Puebla,27,1991,31,26,2149,2,3,0,0,5,0,0.08,0.13,0.21,0.08,0.21,Matches
132,Ronaldo Cisneros\Ronaldo-Cisneros,mx MEX,MF,Guadalajara,21,1997,11,1,323,2,0,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches
133,José Cobián\Jose-Cobian,mx MEX,MF,Necaxa,19,1998,1,1,45,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Rodrigo Contreras\Rodrigo-Contreras,ar ARG,FW,Necaxa,22,1995,14,9,809,3,3,0,0,3,0,0.33,0.33,0.67,0.33,0.67,Matches
135,Juan Cornejo\Juan-Cornejo,cl CHI,DF,León,28,1990,11,11,946,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
